iu_ac,date_debut,date_fin,libelle,iu_nd_aval,libelle_nd_aval,iu_nd_amont,libelle_nd_amont,geo_point_2d_lon,geo_point_2d_lat,geo_shape_type,geo_shape_geometry_coordinates,geo_shape_geometry_type
99,1996-10-03T04:00:00,2023-01-01T02:00:00,Monge,81,Monge-Bernardins,82,Monge-Ecoles,2.3502228283259177,48.848499179810446,Feature,"[[2.350508817916282, 48.84811701747245], [2.349936838735553, 48.84888134214845]]",LineString
5066,1996-10-21T04:00:00,2023-01-01T02:00:00,Bd_de_l'Hopital,2674,Bd_de_l'Hopital-Pinel,2673,Bd_l'Hopital-Jeanne_d'Arc,2.3584586613675125,48.83556644920411,Feature,"[[2.3592003652984856, 48.83661387361135], [2.3577169574365393, 48.83451902479688]]",LineString
5068,1996-10-21T04:00:00,2023-01-01T02:00:00,Bd_de_l'Hopital,2674,Bd_de_l'Hopital-Pinel,2675,Bd_de_l'Hopital-Pl_d'Italie,2.356894173391471,48.83312034720471,Feature,"[[2.355799371260979, 48.83186719144041], [2.356221291652668, 48.83220193356745], [2.3579055380032465, 48.83445458126251]]",LineString
4730,1996-10-16T04:00:00,2023-01-01T02:00:00,Amiral_Cloue-Pt_Mirabeau,2387,Rond_Point_Mirabeau,2401,Pl_de_Barcelone,2.2736676112830994,48.84737603351809,Feature,"[[2.2735844980255107, 48.847402091721435], [2.2737507245406876, 48.84734997531474]]",LineString
5568,1996-12-12T02:00:00,2023-01-01T02:00:00,Vaugirard,2923,Vaugirard-Cherche_Midi,2922,Vaugirard-Bd_Pasteur,2.3152606172110257,48.843724027425715,Feature,"[[2.3127767531548176, 48.842997108434524], [2.3177444812672334, 48.844450946416906]]",LineString
5570,1996-12-12T02:00:00,2023-01-01T02:00:00,Vaugirard,3345,Vaugirard-Littre-Jean_Ferrandi,2924,Vaugirard-Montparnasse-Maine,2.3220708585964327,48.845679919241434,Feature,"[[2.3200021685382364, 48.84509798694328], [2.3201827213931034, 48.84515829011614], [2.3241423442658102, 48.8462526843605]]",LineString
6319,2000-10-26T04:00:00,2023-01-01T02:00:00,Bd_Voltaire,3259,Bd_Voltaire-Sedaine,3258,Pl_Leon_Blum,2.379385999286701,48.85831767619408,Feature,"[[2.38014472540068, 48.8578731156082], [2.378627273172722, 48.85876223677997]]",LineString
4981,1996-10-18T04:00:00,2023-01-01T02:00:00,Av_Claude_Vellefaux,2640,Av_Claude_Vellefaux-St_Maur,2639,Vellefaux-Sambre_et_Meuse,2.370253386318338,48.87449181273814,Feature,"[[2.370232476079603, 48.87521934566178], [2.3702742965570733, 48.8737642798145]]",LineString
6330,2000-10-26T04:00:00,2023-01-01T02:00:00,Av_Parmentier,3283,Parmentier-Sedaine,3280,Chemin_Vert-Parmentier,2.3789757420277704,48.859669637382616,Feature,"[[2.378553167154232, 48.86025351689177], [2.3793983169013093, 48.859085757873444]]",LineString
4669,1996-10-16T04:00:00,2023-01-01T02:00:00,Av_Ledru_Rollin,2483,Av_Ledru_Rollin-Charonne,2487,Av_Ledru_Rollin-Basfroi,2.377928640021879,48.85455885677559,Feature,"[[2.37864357743915, 48.85581108337073], [2.3772137026046076, 48.85330663018046]]",LineString
